author,title,year,url,language,source,period
Jonathan Swift,A Tale of the Tub,1704,https://www.gutenberg.org/files/4737/4737-0.txt,English,Gutenberg,Augustan literature
Jonathan Swift,The Journal to Stella,1710,https://www.gutenberg.org/files/4208/4208-0.txt,English,Gutenberg,Augustan literature
Jonathan Swift,The Prose Works of Jonathan Swift,1724,https://www.gutenberg.org/cache/epub/12784/pg12784.txt,English,Gutenberg,Augustan literature
Jonathan Swift,Gulliver's Travels,1726,https://www.gutenberg.org/files/829/829-0.txt,English,Gutenberg,Augustan literature
Jane Austen,Sense and Sensibility,1811,https://www.gutenberg.org/files/161/161-0.txt,English,Gutenberg,Romanticism
Jane Austen,Pride and Prejudice,1813,https://www.gutenberg.org/cache/epub/1342/pg1342.txt,English,Gutenberg,Romanticism
Jane Austen,Mansfield Park,1814,https://www.gutenberg.org/cache/epub/141/pg141.txt,English,Gutenberg,Romanticism
Jane Austen,Emma,1815,https://www.gutenberg.org/cache/epub/158/pg158.txt,English,Gutenberg,Romanticism
Jane Austen,Persuasion,1818,https://www.gutenberg.org/cache/epub/105/pg105.txt,English,Gutenberg,Romanticism
Jane Austen,Northanger Abbey,1818,https://www.gutenberg.org/cache/epub/121/pg121.txt,English,Gutenberg,Romanticism
Mary Shelley,Frankenstein,1818,https://www.gutenberg.org/cache/epub/84/pg84.txt,English,Gutenberg,Romanticism
Mary Shelley,Mathilda,1819,https://www.gutenberg.org/cache/epub/15238/pg15238.txt,English,Gutenberg,Romanticism
Mary Shelley,The Last Man,1826,https://www.gutenberg.org/cache/epub/18247/pg18247.txt,English,Gutenberg,Romanticism
Charles Dickens,Oliver Twist,1837,https://www.gutenberg.org/cache/epub/730/pg730.txt,English,Gutenberg,Victorian
Charles Dickens,David Copperfield,1849,https://www.gutenberg.org/cache/epub/766/pg766.txt,English,Gutenberg,Victorian
Charles Dickens,Bleak House,1852,https://www.gutenberg.org/cache/epub/1023/pg1023.txt,English,Gutenberg,Victorian
Charles Dickens,Hard Times,1854,https://www.gutenberg.org/files/786/786-0.txt,English,Gutenberg,Victorian
Charles Dickens,A Tale of Two Cities,1859,https://www.gutenberg.org/files/98/98-0.txt,English,Gutenberg,Victorian
Charles Dickens,Great Expectations,1860,https://www.gutenberg.org/files/1400/1400-0.txt,English,Gutenberg,Victorian
Mark Twain,Innocents Abroad,1869,https://www.gutenberg.org/cache/epub/3176/pg3176.txt,English,Gutenberg,American Realism
Mark Twain,The Adventures of Tom Sawyer,1876,https://www.gutenberg.org/files/74/74-0.txt,English,Gutenberg,American Realism
Mark Twain,Life on the Mississippi,1876,https://www.gutenberg.org/files/245/245-0.txt,English,Gutenberg,American Realism
Mark Twain,The Prince and The Pauper,1881,https://www.gutenberg.org/files/1837/1837-0.txt,English,Gutenberg,American Realism
Mark Twain,Adventures of Huckleberry Finn,1884,https://www.gutenberg.org/files/76/76-0.txt,English,Gutenberg,American Realism
Mark Twain,A Connecticut Yankee in King Arthur's Court,1889,https://www.gutenberg.org/cache/epub/86/pg86.txt,English,Gutenberg,American Realism
Mark Twain,The Tragedy of Pudd'nhead Wilson,1894,https://www.gutenberg.org/files/102/102-0.txt,English,Gutenberg,American Realism
H.G. Wells,The Time Machine,1895,https://www.gutenberg.org/files/35/35-0.txt,English,Gutenberg,Proto-Modernism
H.G. Wells,The Island of Doctor Moreau,1896,https://www.gutenberg.org/cache/epub/159/pg159.txt,English,Gutenberg,Proto-Modernism
H.G. Wells,The Invisible Man,1897,https://www.gutenberg.org/cache/epub/5230/pg5230.txt,English,Gutenberg,Proto-Modernism
H.G. Wells,The War of the Worlds,1898,https://www.gutenberg.org/cache/epub/36/pg36.txt,English,Gutenberg,Proto-Modernism
Joseph Conrad,Heart of Darkness,1899,https://www.gutenberg.org/ebooks/219,English,Gutenberg,Modernism
Joseph Conrad,Lord Jim,1900,https://www.gutenberg.org/cache/epub/5658/pg5658.txt,English,Gutenberg,Modernism
Joseph Conrad,Nostromo: A Tale of the Seaboard,1904,https://www.gutenberg.org/files/2021/2021-0.txt,English,Gutenberg,Modernism
Joseph Conrad,The Secret Agent,1907,https://www.gutenberg.org/files/974/974-0.txt,English,Gutenberg,Modernism
Joseph Conrad,The Secret Sharer,1910,https://www.gutenberg.org/files/220/220-0.txt,English,Gutenberg,Modernism
Agatha Christie,The Mysterious Affair at Styles,1921,https://www.gutenberg.org/cache/epub/863/pg863.txt,English,Gutenberg,Genre Fiction
Agatha Christie,The Secret Adversary,1922,https://www.gutenberg.org/cache/epub/1155/pg1155.txt,English,Gutenberg,Genre Fiction
Agatha Christie,The Murder on the Links,1923,https://www.gutenberg.org/cache/epub/58866/pg58866.txt,English,Gutenberg,Genre Fiction
Agatha Christie,The Man in the Brown Suit,1924,https://www.gutenberg.org/cache/epub/61168/pg61168.txt,English,Gutenberg,Genre Fiction
Agatha Christie,The Murder of Roger Ackroyd,1926,https://www.gutenberg.org/cache/epub/69087/pg69087.txt,English,Gutenberg,Genre Fiction
William Shakespeare,Complete Shakespeare,1590,https://www.gutenberg.org/cache/epub/100/pg100.txt,English,Gutenberg,Elizabethan period